,class_name,instance_count,rule_list
5,0,1053,"[0.8599137931034483] (CASH_ADVANCE > -0.5489774569869041) and (PURCHASES > -0.5295370817184448) and (BALANCE > 0.7785895764827728)

"
1,1,1416,"[0.6677577741407529] (CASH_ADVANCE <= -0.5489774569869041) and (BALANCE > -0.5579992532730103) and (CREDIT_LIMIT <= 0.25844599306583405) and (MINIMUM_PAYMENTS > -0.010506895836442709)

[0.6541698546289212] (CASH_ADVANCE > -0.5489774569869041) and (PURCHASES > -0.5295370817184448) and (BALANCE <= 0.7785895764827728)

"
0,2,1818,"[0.7235901509134234] (CASH_ADVANCE <= -0.5489774569869041) and (BALANCE <= -0.5579992532730103) and (PAYMENTS > -0.5370188653469086)

[0.7442176870748299] (CASH_ADVANCE <= -0.5489774569869041) and (BALANCE > -0.5579992532730103) and (CREDIT_LIMIT <= 0.25844599306583405) and (MINIMUM_PAYMENTS <= -0.010506895836442709)

"
3,3,1172,"[0.8847980997624703] (CASH_ADVANCE <= -0.5489774569869041) and (BALANCE <= -0.5579992532730103) and (PAYMENTS <= -0.5370188653469086)

"
2,4,1219,"[0.7569856054191363] (CASH_ADVANCE <= -0.5489774569869041) and (BALANCE > -0.5579992532730103) and (CREDIT_LIMIT > 0.25844599306583405)

"
6,5,810,"[0.8918495297805643] (CASH_ADVANCE > -0.5489774569869041) and (PURCHASES <= -0.5295370817184448) and (BALANCE > 0.8233959972858429)

"
7,6,354,"[0.6330749354005168] (CASH_ADVANCE > -0.5489774569869041) and (PURCHASES <= -0.5295370817184448) and (BALANCE <= 0.8233959972858429) and (BALANCE <= -0.02905815839767456)

"
4,7,1108,"[0.8116760828625236] (CASH_ADVANCE > -0.5489774569869041) and (PURCHASES <= -0.5295370817184448) and (BALANCE <= 0.8233959972858429) and (BALANCE > -0.02905815839767456)

"
